rank,subscribers,Title,category,video views,highest_yearly_earnings,Country
351,21100000,Tasty,Howto & Style,5783557209.0,1200000.0,United States of America
352,21100000,Baim Paula,People & Blogs,4526271677.0,1300000.0,Indonesia
353,21000000,nigahiga,Entertainment,4380564906.0,118900.0,United States of America
354,21000000,Rafa & Luiz,Entertainment,7762905663.0,5700000.0,Brazil
355,21000000,Lyrical Lemonade,Entertainment,10631638628.0,3800000.0,United States of America
357,20900000,Dr. Vivek Bindra: Motivational Speaker,Education,1693149479.0,1400000.0,India
358,20900000,Fatos Desconhecidos,Entertainment,3828000587.0,2500000.0,Brazil
360,20900000,LIV Crime,People & Blogs,11058049885.0,18400000.0,United States of America
362,20900000,RomeoSantos,Music,17324976752.0,5.0,United States of America
363,20800000,Canal Canalha,Comedy,1870608170.0,1100000.0,Brazil
364,20800000,Kurzgesagt ïïïïïï,Education,2378448129.0,1400000.0,Germany
365,20700000,Yoeslan,Entertainment,17963202261.0,42000000.0,United States of America
366,20700000,5-Minute Crafts DIY,Howto & Style,5091618606.0,960600.0,United States of America
368,20700000,tuzelity SHUFFLE,People & Blogs,8658941531.0,26500000.0,Russia
369,20700000,NBA,Sports,12624879732.0,3500000.0,United States of America
370,20600000,deddycorbuzier,Entertainment,4956090094.0,4.0,Indonesia
371,20600000,Bizarrap,Comedy,7657171980.0,9300000.0,Argentina
372,20600000,Avicii,Music,10292874715.0,3900000.0,Sweden
373,20500000,Mnet K-POP,Entertainment,15038593883.0,7600000.0,South Korea
374,20500000,LazarBeam,Gaming,8768697257.0,1300000.0,Australia
375,20500000,Ninja Kidz TV,Entertainment,11009148579.0,9400000.0,United States of America
376,20400000,Totoy kids - Portuguï,Film & Animation,1796227417.0,1900000.0,Brazil
377,20400000,Jake Paul,People & Blogs,7311322368.0,703000.0,United States of America
379,20400000,Vijay Television,Entertainment,29406206620.0,43600000.0,India
380,20400000,SlivkiShow,Entertainment,4707412332.0,1400000.0,Ukraine
381,20400000,Emiway Bantai,Music,3579555124.0,2000000.0,India
382,20300000,Got Talent Global,Entertainment,2441288701.0,4100000.0,United Kingdom
384,20300000,BabyBus - Cerita & Lagu Anak-anak,Education,11819051552.0,5400000.0,Indonesia
385,20200000,Ami Rodriguez,Entertainment,2951914200.0,12700000.0,Colombia
386,20200000,Noor Stars,Comedy,2764127969.0,746700.0,United Arab Emirates
388,20200000,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,Education,7274150246.0,5400000.0,India
389,20200000,dednahype,Comedy,20919403720.0,59800000.0,Latvia
390,20200000,Marta and Rustam,Comedy,19694265358.0,21700000.0,United States of America
391,20200000,MiawAug,Gaming,6098644584.0,3100000.0,Indonesia
392,20100000,CookieSwirlC,Entertainment,23353115850.0,10600000.0,United States of America
393,20100000,Skrillex,Music,6618524158.0,1200000.0,United States of America
394,20100000,AuthenticGames,Gaming,8920141342.0,260200.0,Brazil
396,20100000,Pencilmation,Film & Animation,11317309935.0,713400.0,United States of America
397,20100000,7clouds,Music,14816075927.0,13300000.0,United States of America
398,20100000,5-Minute Crafts PLAY,Howto & Style,6119294270.0,5100000.0,United States of America
399,20100000,MarvelEntertainment,Entertainment,5634695322.0,3.0,United States of America
400,20100000,BuzzFeedVideo,People & Blogs,17913237851.0,437400.0,United States of America
401,20000000,REACT,Entertainment,13154314376.0,1100000.0,United States of America
402,20000000,Vevo,Music,559765455.0,63900.0,United States of America
403,20000000,Gordon Ramsay,Entertainment,3875172235.0,1900000.0,United Kingdom
406,19900000,Gusttavo Lima Oficial,Music,13917423958.0,10300000.0,Brazil
407,19800000,HaerteTest,Science & Technology,3234880084.0,271200.0,Germany
408,19800000,Crafty Panda,People & Blogs,5759442450.0,294600.0,United States of America
409,19800000,TIME NEWS,News & Politics,12293479945.0,779.0,United States of America
410,19700000,JennaMarbles,Comedy,1803249241.0,180900.0,United States of America
413,19700000,Britain's Got Talent,Entertainment,11323617496.0,2600000.0,United Kingdom
414,19700000,SCTV,Entertainment,9808676159.0,16.0,United Kingdom
415,19600000,ASGaming,Gaming,2851024430.0,1.0,United States of America
416,19600000,Sony AATH,Shows,13930021471.0,13200000.0,United States of America
417,19600000,tabii Urdu,Entertainment,8779729549.0,5300000.0,Turkey
418,19600000,DaFuq!?Boom!,Film & Animation,7906181776.0,110600000.0,United States of America
419,19600000,Clash of Clans,Gaming,3961318438.0,1100000.0,United States of America
421,19400000,DLS News,News & Politics,2255542592.0,1500000.0,India
422,19400000,JukiLop,People & Blogs,1577859332.0,114300.0,Mexico
423,19400000,etvteluguindia,Entertainment,23038014291.0,13100000.0,India
424,19400000,FIFA,Sports,5529131886.0,2800000.0,Switzerland
428,19200000,shane,People & Blogs,4329121104.0,131100.0,United States of America
429,19200000,Sonotek,Entertainment,7590582024.0,1400000.0,India
430,19100000,Jimmy Kimmel Live,Entertainment,13124645973.0,827600.0,United States of America
431,19100000,TheOdd1sOut,Comedy,4566120190.0,1500000.0,United States of America
434,19000000,ýýýýýýýýýýýýýý ýýýý,Education,4924054368.0,1000000.0,United States of America
435,19000000,SUPER SLICK SLIME SAM,Howto & Style,7229175322.0,5900000.0,Mexico
436,19000000,Wow Kidz Action,Film & Animation,8281724393.0,5100000.0,India
437,19000000,Turma da Mïï,Film & Animation,13824277846.0,3700000.0,Brazil
438,19000000,Calvin Harris,Music,16014044618.0,4900000.0,United Kingdom
